,number,from_date,to_date,backlog_all,inflow_all,outflow_all,backlog_normal,inflow_normal,outflow_normal,backlog_major,inflow_major,outflow_major
2015-12-21/2015-12-27,790,2015-12-21,2015-12-27,5278,2,1,0,0,0,0,0,0
2015-12-28/2016-01-03,791,2015-12-28,2016-01-03,5279,4,3,0,0,0,0,0,0
2016-01-04/2016-01-10,792,2016-01-04,2016-01-10,5283,5,1,0,0,0,0,0,0
2016-01-11/2016-01-17,793,2016-01-11,2016-01-17,5285,4,2,0,0,0,0,0,0
2016-01-18/2016-01-24,794,2016-01-18,2016-01-24,5290,8,3,0,0,0,0,0,0
2016-01-25/2016-01-31,795,2016-01-25,2016-01-31,5294,6,2,0,0,0,0,0,0
2016-02-01/2016-02-07,796,2016-02-01,2016-02-07,5292,1,3,0,0,0,0,0,0
2016-02-08/2016-02-14,797,2016-02-08,2016-02-14,5295,5,2,0,0,0,0,0,0
2016-02-15/2016-02-21,798,2016-02-15,2016-02-21,5294,6,7,0,0,0,0,0,0
2016-02-22/2016-02-28,799,2016-02-22,2016-02-28,5293,2,3,0,0,0,0,0,0
2016-02-29/2016-03-06,800,2016-02-29,2016-03-06,5287,1,7,0,0,0,0,0,0
2016-03-07/2016-03-13,801,2016-03-07,2016-03-13,5288,4,3,0,0,0,0,0,0
2016-03-14/2016-03-20,802,2016-03-14,2016-03-20,5287,1,2,0,0,0,0,0,0
2016-03-21/2016-03-27,803,2016-03-21,2016-03-27,5268,5,24,0,0,0,0,0,0
2016-03-28/2016-04-03,804,2016-03-28,2016-04-03,5268,3,3,0,0,0,0,0,0
2016-04-04/2016-04-10,805,2016-04-04,2016-04-10,5268,4,4,0,0,0,0,0,0
2016-04-11/2016-04-17,806,2016-04-11,2016-04-17,5266,7,9,0,0,0,0,0,0
2016-04-18/2016-04-24,807,2016-04-18,2016-04-24,5254,2,14,0,0,0,0,0,0
2016-04-25/2016-05-01,808,2016-04-25,2016-05-01,5234,2,22,0,0,0,0,0,0
2016-05-02/2016-05-08,809,2016-05-02,2016-05-08,5235,3,2,0,0,0,0,0,0
2016-05-09/2016-05-15,810,2016-05-09,2016-05-15,5237,3,1,0,0,0,0,0,0
2016-05-16/2016-05-22,811,2016-05-16,2016-05-22,5239,4,2,0,0,0,0,0,0
2016-05-23/2016-05-29,812,2016-05-23,2016-05-29,5236,3,6,0,0,0,0,0,0
2016-05-30/2016-06-05,813,2016-05-30,2016-06-05,5232,0,4,0,0,0,0,0,0
2016-06-06/2016-06-12,814,2016-06-06,2016-06-12,5234,2,0,0,0,0,0,0,0
2016-06-13/2016-06-19,815,2016-06-13,2016-06-19,5236,3,1,0,0,0,0,0,0
2016-06-20/2016-06-26,816,2016-06-20,2016-06-26,5234,2,4,0,0,0,0,0,0
2016-06-27/2016-07-03,817,2016-06-27,2016-07-03,5239,7,2,0,0,0,0,0,0
2016-07-04/2016-07-10,818,2016-07-04,2016-07-10,5240,6,5,0,0,0,0,0,0
2016-07-11/2016-07-17,819,2016-07-11,2016-07-17,5242,3,1,0,0,0,0,0,0
2016-07-18/2016-07-24,820,2016-07-18,2016-07-24,5241,3,4,0,0,0,0,0,0
2016-07-25/2016-07-31,821,2016-07-25,2016-07-31,5241,5,5,0,0,0,0,0,0
